01/16/2022,02/11/2022,02/15/2022,03/03/2022,מרתון ירושלים 22/3,,,,,
מס' חוג,שם חוג,שם קורס ,מספר קורס,סמסטר,הערות ,מועד א'  ,מועד ב'  ,סיבה לשינויי,סיבה לדחיית השינוי
570,מדעי החיים,מבוא לפיסיולוגיה  (מצומצם),72363,א',,4.2.22,4.3.22,,
570,מדעי החיים,ביולוגיה של התא מורחב,72373,א',,1/21/2022,2/18/2022,,
570,מדעי החיים,אסטרוביולוגיה של כדור הארץ,72582,א',,6/29/2022,8/4/2022,,
570,מדעי החיים,התנהגות בעלי-חיים,72585,א',,1/18/2021,2/23/2021,,
570,מדעי החיים,צומח וצמחיית ישראל,72605,א',,2/9/2021,2/28/2022,,
570,מדעי החיים,מנגנונים עצביים בהתנהגות של בעלי חיים,72625,א',,1/18/2022,2/17/2022,,
570,מדעי החיים,אימונולוגיה,72665,א',,1/31/2022,3/4/2022,,
570,מדעי החיים,ביוסטטיסטיקה מתקדמת בדגש חישובי,72942,א',,2/8/2022,2/27/2022,,
579,"אקולוגיה, אבולוציה והתנהגות",סמינריון סגל ומוסמך באקולוגיה אבולוציה והתנהגות,90604,קורס שנתי,חובה מוסמך,,,,
590,גיאולוגיה,מבוא לפלאונטולוגיה,70102,א',,2/10/2022,2/25/2022,,
590,גיאולוגיה,מחנה לימוד קיץ,70110,א',חובה בוגר ,10/24/2021,11/21/2021,,
590,גיאולוגיה,צפונות ים המלח: מטקטוניקת הפלטות לשינויי אקלים,70120,א',,2/1/2022,2/23/2022,,
590,גיאולוגיה,גאולוגיה סטרוקטורלית,70302,א',חובה בוגר ,1/27/2022,2/20/2022,,
590,גיאולוגיה,מינרלוגיה אופטית,70307,א',חובה בוגר ,3.2.22,1.3.22,,
590,גיאולוגיה,מבוא למודלים במדעי כדור הארץ,70356,א',תאריכי בחינה זהים ל 70939,2/7/2022,2/28/2022,,
590,גיאולוגיה,מינרלים סלעים,70417,א',,1/18/2022,3/3/2022,,
590,גיאולוגיה,מבוא ל-G.I.S,70511,א',,1/26/2022,2/21/2022,,
590,גיאולוגיה,עיצוב הנוף,70425, א,,1/20/2022,2/17/2022,,
590,גיאולוגיה,משאבי המים בישראל,70515,א',,2/3/2022,2/23/2022,,
590,גיאולוגיה,התפתחות התשתית הפריקמברית של ישראל - מצומצם - סיור,70619,א',חובה בוגר ,1/17/2022,2/22/2022,,
590,גיאולוגיה,המים בישראל,70657,א',,1/31/2022,2/28/2022,,
590,גיאולוגיה,פטרולוגיה מאגמתית ומטמורפית ,70702,א',,1/20/2022,2/15/2022,,
590,גיאולוגיה,תהליכים במחזור ההידרולוגי,70849,א',חובה בוגר ,2/10/2022,2/28/2022,,
590,גיאולוגיה,חימום גלובלי: ממדע למדיניות,70930,א',,2/8/2022,3/2/2022,,
890,גיאולוגיה,"מבוא למודלים במדע כדה""א עם מדע""ח ",70939,,תאריכי בחינה זהים ל 70356,2/7/2022,2/28/2022,,
591,סביבה ,כימיה אורגנית סביבתית,89787,א',חובה בוגר ,2/7/2022,3/3/2022,,
592,אוקיינוגרפיה,נושאים באוקיינוגרפיה פיסיקלית,84810,א',,2/3/2022,3/3/2022,,
595,מדעי הדור הארץ ,מבוא לתורת האקלים ,68105,א',,2/10/2022,2/27/2022,,
595,מדעי כדור הארץ,כדור הארץ הדינמי,68127,א',,2/23/2022,1/21/2022, ,
890,ביוטכנולוגיה,קורי עכביש: ממדע בסיסי לביוטכנולוגיה,94902,א',,1/20/2022,2/17/2022,,
 ,,מבוא לסטטיסטיקה ,52003,א',,2/9/2022,3/3/2022,,
,,תיאוריה סט' למדעי המחשב ,52309,א',,1/18/2022,2/10/2022,,
