גנטיקה של אוכוליסיות,72659,13.7.22,9.8.22
ביולוגיה של הסרטן,72941,6.7.22,10.8.22
תהליכי ראייה וקוגניציה במוח ,78868,,
אבולוציה של עולם החי,90106,7/8/2022,8/14/2022
"אבולוציה, ססטמטיקה ואקולוגיה של עכבישים",90889,7/14/2022,8/9/2022
מכאנוביולוגיה,76122,,
מבוא לגאוכימיה,70311,,
פטרולוגיה סדימנטרית,70315,7/3/2022,8/10/2022
סיור נגב צפוני,70326,,
סיור כרמל,70328,,
מחדר מלח הר סדום: גאולוגיה ומורפולוגיה,70332,,
מבוא לסטרטיגרפיה,70365,6/30/2022,8/1/2022
מדעי הקרקע,70525,7/7/2022,8/11/2022
טקטוניקה של כדור הארץ,70603,,
מעבדה בפטרולוגיה סדימנטרית,70650,6/26/2022,7/28/2022
מבוא לגאופיסיקה,70701,7/12/2022,8/9/2022
סיור הרי יהודה,70721,,
הידרולוגיה של מי תהום,70910,7/15/2022,8/8/2022
מבוא לסייסמולוגיה,70920,7/7/2022,7/28/2022
מחנה לימודי לים המלח,89400,7/4/2022,
מחזורים ביוגאוכימים ומערכת האקלים,89703,6/27/2022,7/28/2022
אוקיינוגרפיה פיסיקלית,84831,,
מחנה לימודי גיאולוגיה ,84840,6/26/2022,
נושאים מתקדמים בגלי ים,84891,,
פליאוקיינוגרפיה,84895,,
מבוא למיפוי גאולוגי,68128,,
גאולוגיה בנגב,68140,,
פיתוח מוצרי פרמה וביוטכנולוגיה בהתאמה לדרישות הרגולציה בתעשיית הביומד,71174,7/7/2022,8/14/2022
ביוטכנולוגיה בחקלאות,73534,7/14/2022,8/4/2022
"רגרסיה ומודלים ליניאריים למדמ""ח",52307,7/27/2022,8/16/2022
"רסתברות לסט' למדמ""ח ",52006,7/20/2022,8/19/2022
